Zone,Station,2018 - Fatal,2018 - Killed,2018 - Non-Fatal,2018 - Injured,2018 - Total Cases,2019 - Fatal,2019 - Killed,2019 - Non-Fatal,2019 - Injured,2019 - Total Cases,2020 - Fatal ,2020 - Killed,2020 - Non-Fatal,2020 - Injured,2020 - Total Cases 
East,Cubbon Park,2,2,52,53,54,5,5,46,56,51,2,2,24,28,26
East,H.Grounds,2,2,58,51,60,5,5,48,54,53,6,6,39,34,45
East,S.S.Nagar,8,8,78,74,86,6,6,52,54,58,8,8,51,61,59
East,U.Gate,4,4,43,40,47,2,2,51,49,53,4,5,29,27,33
East,Ashokanagar,4,4,51,55,55,6,6,58,55,64,5,7,35,37,40
East,W.Garden,6,6,46,44,52,11,11,63,60,74,3,3,34,29,37
East,Ulsoor,12,12,69,67,81,14,15,88,84,102,14,14,37,41,51
East,Indiranagar,11,11,63,60,74,14,14,94,92,108,9,9,40,45,49
East,K.R.Pura,42,43,241,221,283,49,50,220,230,269,48,50,136,129,184
East,F.Town,5,5,16,13,21,10,10,20,17,30,8,8,11,9,19
East,Banasawadi,21,21,108,133,129,19,19,110,106,129,15,16,76,68,91
East,Shivajinagar,2,2,23,23,25,7,7,27,22,34,1,1,14,10,15
East,K G Halli,4,4,19,24,23,7,7,22,21,29,3,3,17,22,20
East,Adugodi,3,3,47,53,50,6,6,56,55,62,2,2,27,30,29
East,Madivala,18,18,64,69,82,17,18,67,65,84,11,11,34,35,45
East,Electronic City,27,29,133,115,160,32,33,138,122,170,31,31,124,109,155
East,Mico layout,6,6,58,58,64,12,12,72,73,84,10,10,51,42,61
East,Airport,24,26,85,77,109,16,16,68,59,84,19,19,45,40,64
East,White Field,24,24,150,164,174,48,48,144,167,192,21,22,92,99,113
East,HuliMavu,30,33,106,118,136,15,15,108,104,123,16,16,64,74,80
East,HSR Layout,17,17,83,98,100,25,25,81,109,106,15,16,60,86,75
West,Upparpet,6,6,40,41,46,10,10,37,37,47,2,2,15,15,17
West,Chickpet,10,10,44,48,54,12,12,58,62,70,6,6,30,28,36
West,City Market,2,2,18,17,20,3,3,17,16,20,3,3,6,6,9
West,Magadi Road,1,1,34,31,35,6,6,41,49,47,4,4,21,18,25
West,Vijayanagar,7,7,124,110,131,9,9,113,111,122,8,8,84,76,92
West,B.Pura,17,18,100,104,117,18,18,108,101,126,19,20,87,68,106
West,Kamakshipalya,22,22,187,202,209,25,27,194,207,219,24,26,135,154,159
West,Kengeri,24,25,137,198,161,26,27,145,178,171,22,24,64,88,86
West,Malleswaram,5,5,96,85,101,7,7,83,111,90,8,8,37,34,45
West,Rajajinagar,14,14,57,66,71,10,10,45,51,55,12,12,36,44,48
West,Y.Pura,20,20,131,130,151,17,19,115,113,132,20,20,85,84,105
West,Peenya,23,23,204,213,227,33,34,183,185,216,16,16,110,116,126
West,Jalahalli,21,21,153,158,174,21,22,86,104,107,19,20,53,63,72
West,Chamarajapet,4,4,38,38,42,7,7,34,37,41,6,6,23,25,29
West,Basavanagudi,3,3,67,60,70,6,6,54,56,60,6,6,46,42,52
West,Jayanagar,9,9,72,71,81,16,16,61,63,77,15,15,39,46,54
West,Banashankari,8,8,92,83,100,7,7,96,98,103,12,12,55,54,67
West,K.Swamy Lyt.,33,35,157,141,190,26,28,166,168,192,37,39,122,130,159
North,RT Nagar,7,8,87,81,94,11,12,63,56,74,9,10,50,41,59
North,Hebbala,32,33,106,113,138,32,33,109,118,141,28,28,81,99,109
North,Yelahanka,46,48,175,189,221,44,44,216,287,260,40,45,155,169,195
North,Chikjala,38,39,114,151,152,41,44,154,191,195,30,31,152,172,182
North,Devanahalli,39,45,122,189,161,33,37,127,197,160,25,27,88,133,113
,Grand Total,663,686,3948,4129,4611,746,768,3938,4250,4684,622,647,2614,2760,3236
