Zone,Sub-division,Station,2024-Non Fatal,2024-Fatal crashes,2024-Total crashes
East,East,Halasooru,49,12,61
East,East,Indiranagar,98,21,119
East,East,Pulikeshinagar,14,4,18
East,East,Banasawadi,59,6,65
East,East,Shivajinagar,30,4,34
East,East,K G Halli,47,7,54
,East ,Total,297,54,351
East,Whitefield,K R Puram,207,34,241
East,Whitefield,Airport,74,22,96
East,Whitefield,Whitefield,145,44,189
East,Whitefield,Mahadevapura,89,17,106
,Whitefield,Total,515,117,632
East,,East Total,812,171,983
West,Central,Cubbon Park,42,6,48
West,Central,H.Grounds,48,7,55
West,Central,S.S.Nagar,48,5,53
West,Central,U.Gate,62,6,68
West,Central,Ashokanagar,31,4,35
West,Central,W.Garden,53,6,59
,Central,Total,284,34,318
West,West,Upparpet,35,11,46
West,West,Chickpet,33,8,41
West,West,City Market,31,11,42
West,West,Bytarayanapura,127,19,146
West,West,Kengeri,146,31,177
West,West,Jnanabharathi,119,22,141
,West,Total,491,102,593
West,Vijayanagar,Vijayanagar,52,6,58
West,Vijayanagar,Magadi Road,36,4,40
West,Vijayanagar,Kamakshipalya,126,18,144
,Vijayanagar,Total,214,28,242
West,,West Total,989,164,1153
North,North East,R T Nagar,54,7,61
North,North East,Hebbala,148,29,177
North,North East,Yalahanka,186,56,242
North,North East,Chikkajala,108,32,140
North,North East,Int. Aiport,180,60,240
North,North East,Hennuru,95,32,127
,North East,Total,771,216,987
North,North,Malleshwaram,56,10,66
North,North,Rajajinagar,88,11,99
North,North,Yashawanthapura,73,25,98
North,North,Peenya,111,26,137
North,North,Jalahalli,54,15,69
North,North,Chikkabanavara,74,16,90
,North,Total,456,103,559
North,,North Total,1227,319,1546
South,South East,Adugodi,45,5,50
South,South East,Madivala,81,21,102
South,South East,Micolayout,73,23,96
South,South East,Hulimavu,61,10,71
,South East,Total,260,59,319
South,South,Chamarajpet,15,0,15
South,South,Basavanagudi,82,8,90
South,South,Jayanagar,73,12,85
South,South,Banashankari,68,11,79
South,South,K S Layout,90,20,110
South,South,Thalagattapura,104,20,124
,South,Total,432,71,503
South,HSR Layout,HSR Layout,49,12,61
South,HSR Layout,Electronic City,136,42,178
South,HSR Layout,Bellanduru,43,14,57
,HSR Layout,Total,228,68,296
South,,South Total,920,198,1118
Total,,Grand Total,3948,852,4800
