Zone,Sub-division,Station,Year,Fatal,Killed,Non-Fatal,Injured,Total,Fatal_Rate,NonFatal_Rate
East,,Adugodi,2018,3,3.0,47,53.0,50,0.06,0.94
East,,Adugodi,2019,6,6.0,56,55.0,62,0.0967741935483871,0.9032258064516129
East,,Adugodi,2020,2,2.0,27,30.0,29,0.06896551724137931,0.9310344827586207
East,,Adugodi,2021,2,8.0,17,20.0,19,0.10526315789473684,0.8947368421052632
East,,Adugodi,2022,6,6.0,36,41.0,42,0.14285714285714285,0.8571428571428571
South,South East,Adugodi,2023,10,10.0,53,67.0,63,0.15873015873015872,0.8412698412698413
South,South East,Adugodi,2024,5,,45,,50,0.1,0.9
East,,Airport,2018,24,26.0,85,77.0,109,0.22018348623853212,0.7798165137614679
East,,Airport,2019,16,16.0,68,59.0,84,0.19047619047619047,0.8095238095238095
East,,Airport,2020,19,19.0,45,40.0,64,0.296875,0.703125
East,,Airport,2021,34,35.0,109,113.0,143,0.23776223776223776,0.7622377622377622
East,,Airport,2022,18,18.0,65,65.0,83,0.21686746987951808,0.7831325301204819
East,Whitefield,Airport,2023,17,17.0,80,80.0,97,0.17525773195876287,0.8247422680412371
East,Whitefield,Airport,2024,22,,74,,96,0.22916666666666666,0.7708333333333334
East,,Ashokanagar,2018,4,4.0,51,55.0,55,0.07272727272727272,0.9272727272727272
East,,Ashokanagar,2019,6,6.0,58,55.0,64,0.09375,0.90625
East,,Ashokanagar,2020,5,7.0,35,37.0,40,0.125,0.875
East,,Ashokanagar,2021,5,5.0,37,48.0,42,0.11904761904761904,0.8809523809523809
East,,Ashokanagar,2022,4,4.0,31,29.0,35,0.11428571428571428,0.8857142857142857
West,Central,Ashokanagar,2023,6,6.0,32,30.0,38,0.15789473684210525,0.8421052631578947
West,Central,Ashokanagar,2024,4,,31,,35,0.11428571428571428,0.8857142857142857
West,,B.Pura,2018,17,18.0,100,104.0,117,0.1452991452991453,0.8547008547008547
West,,B.Pura,2019,18,18.0,108,101.0,126,0.14285714285714285,0.8571428571428571
West,,B.Pura,2020,19,20.0,87,68.0,106,0.1792452830188679,0.8207547169811321
West,,B.Pura,2021,21,21.0,100,90.0,121,0.17355371900826447,0.8264462809917356
West,,B.Pura,2022,39,40.0,122,110.0,161,0.2422360248447205,0.7577639751552795
East,,Banasawadi,2018,21,21.0,108,133.0,129,0.16279069767441862,0.8372093023255814
East,,Banasawadi,2019,19,19.0,110,106.0,129,0.14728682170542637,0.8527131782945736
East,,Banasawadi,2020,15,16.0,76,68.0,91,0.16483516483516483,0.8351648351648352
East,,Banasawadi,2021,20,21.0,79,81.0,99,0.20202020202020202,0.797979797979798
East,,Banasawadi,2022,22,22.0,94,118.0,116,0.1896551724137931,0.8103448275862069
East,East,Banasawadi,2023,14,15.0,77,82.0,91,0.15384615384615385,0.8461538461538461
East,East,Banasawadi,2024,6,,59,,65,0.09230769230769231,0.9076923076923077
West,,Banashankari,2018,8,8.0,92,83.0,100,0.08,0.92
West,,Banashankari,2019,7,7.0,96,98.0,103,0.06796116504854369,0.9320388349514563
West,,Banashankari,2020,12,12.0,55,54.0,67,0.1791044776119403,0.8208955223880597
West,,Banashankari,2021,13,13.0,57,58.0,70,0.18571428571428572,0.8142857142857143
West,,Banashankari,2022,16,17.0,51,55.0,67,0.23880597014925373,0.7611940298507462
South,South,Banashankari,2023,15,15.0,75,66.0,90,0.16666666666666666,0.8333333333333334
South,South,Banashankari,2024,11,,68,,79,0.13924050632911392,0.8607594936708861
West,,Basavanagudi,2018,3,3.0,67,60.0,70,0.04285714285714286,0.9571428571428572
West,,Basavanagudi,2019,6,6.0,54,56.0,60,0.1,0.9
West,,Basavanagudi,2020,6,6.0,46,42.0,52,0.11538461538461539,0.8846153846153846
West,,Basavanagudi,2021,5,5.0,43,31.0,48,0.10416666666666667,0.8958333333333334
West,,Basavanagudi,2022,7,7.0,78,59.0,85,0.08235294117647059,0.9176470588235294
South,South,Basavanagudi,2023,3,3.0,99,98.0,102,0.029411764705882353,0.9705882352941176
South,South,Basavanagudi,2024,8,,82,,90,0.08888888888888889,0.9111111111111111
South,HSR Layout,Bellanduru,2023,9,9.0,34,34.0,43,0.20930232558139536,0.7906976744186046
South,HSR Layout,Bellanduru,2024,14,,43,,57,0.24561403508771928,0.7543859649122807
West,West,Bytarayanapura,2023,19,19.0,163,125.0,182,0.1043956043956044,0.8956043956043956
West,West,Bytarayanapura,2024,19,,127,,146,0.13013698630136986,0.8698630136986302
West,,Chamarajapet,2018,4,4.0,38,38.0,42,0.09523809523809523,0.9047619047619048
West,,Chamarajapet,2019,7,7.0,34,37.0,41,0.17073170731707318,0.8292682926829268
West,,Chamarajapet,2020,6,6.0,23,25.0,29,0.20689655172413793,0.7931034482758621
West,,Chamarajapet,2021,6,6.0,22,24.0,28,0.21428571428571427,0.7857142857142857
West,,Chamarajapet,2022,7,7.0,44,46.0,51,0.13725490196078433,0.8627450980392157
South,South,Chamarajpet,2023,4,4.0,25,22.0,29,0.13793103448275862,0.8620689655172413
South,South,Chamarajpet,2024,0,,15,,15,0.0,1.0
West,,Chickpet,2018,10,10.0,44,48.0,54,0.18518518518518517,0.8148148148148148
West,,Chickpet,2019,12,12.0,58,62.0,70,0.17142857142857143,0.8285714285714286
West,,Chickpet,2020,6,6.0,30,28.0,36,0.16666666666666666,0.8333333333333334
West,,Chickpet,2021,6,6.0,24,21.0,30,0.2,0.8
West,,Chickpet,2022,7,7.0,33,32.0,40,0.175,0.825
West,West,Chickpet,2023,9,10.0,37,31.0,46,0.1956521739130435,0.8043478260869565
West,West,Chickpet,2024,8,,33,,41,0.1951219512195122,0.8048780487804879
North,,Chikjala,2018,38,39.0,114,151.0,152,0.25,0.75
North,,Chikjala,2019,41,44.0,154,191.0,195,0.21025641025641026,0.7897435897435897
North,,Chikjala,2020,30,31.0,152,172.0,182,0.16483516483516483,0.8351648351648352
North,,Chikjala,2021,32,40.0,157,191.0,189,0.1693121693121693,0.8306878306878307
North,,Chikjala,2022,42,42.0,132,144.0,174,0.2413793103448276,0.7586206896551724
North,North,Chikkabanavara,2024,16,,74,,90,0.17777777777777778,0.8222222222222222
North,North East,Chikkajala,2023,36,39.0,101,129.0,137,0.26277372262773724,0.7372262773722628
North,North East,Chikkajala,2024,32,,108,,140,0.22857142857142856,0.7714285714285715
West,,City Market,2018,2,2.0,18,17.0,20,0.1,0.9
West,,City Market,2019,3,3.0,17,16.0,20,0.15,0.85
West,,City Market,2020,3,3.0,6,6.0,9,0.3333333333333333,0.6666666666666666
West,,City Market,2021,2,2.0,5,4.0,7,0.2857142857142857,0.7142857142857143
West,,City Market,2022,3,3.0,15,14.0,18,0.16666666666666666,0.8333333333333334
West,West,City Market,2023,9,9.0,23,28.0,32,0.28125,0.71875
West,West,City Market,2024,11,,31,,42,0.2619047619047619,0.7380952380952381
East,,Cubbon Park,2018,2,2.0,52,53.0,54,0.037037037037037035,0.9629629629629629
East,,Cubbon Park,2019,5,5.0,46,56.0,51,0.09803921568627451,0.9019607843137255
East,,Cubbon Park,2020,2,2.0,24,28.0,26,0.07692307692307693,0.9230769230769231
East,,Cubbon Park,2021,4,4.0,34,35.0,38,0.10526315789473684,0.8947368421052632
East,,Cubbon Park,2022,4,5.0,33,31.0,37,0.10810810810810811,0.8918918918918919
West,Central,Cubbon Park,2023,2,2.0,54,41.0,56,0.03571428571428571,0.9642857142857143
West,Central,Cubbon Park,2024,6,,42,,48,0.125,0.875
North,,Devanahalli,2018,39,45.0,122,189.0,161,0.2422360248447205,0.7577639751552795
North,,Devanahalli,2019,33,37.0,127,197.0,160,0.20625,0.79375
North,,Devanahalli,2020,25,27.0,88,133.0,113,0.22123893805309736,0.7787610619469026
North,,Devanahalli,2021,23,24.0,145,209.0,168,0.13690476190476192,0.8630952380952381
North,,Devanahalli,2022,30,31.0,124,164.0,154,0.19480519480519481,0.8051948051948052
East,,East Total,2023,165,169.0,839,806.0,1004,0.1643426294820717,0.8356573705179283
East,,East Total,2024,171,,812,,983,0.17395727365208546,0.8260427263479145
East,,Electronic City,2018,27,29.0,133,115.0,160,0.16875,0.83125
East,,Electronic City,2019,32,33.0,138,122.0,170,0.18823529411764706,0.8117647058823529
East,,Electronic City,2020,31,31.0,124,109.0,155,0.2,0.8
East,,Electronic City,2021,27,30.0,102,116.0,129,0.20930232558139536,0.7906976744186046
East,,Electronic City,2022,26,26.0,113,128.0,139,0.18705035971223022,0.8129496402877698
South,HSR Layout,Electronic City,2023,38,39.0,158,171.0,196,0.19387755102040816,0.8061224489795918
South,HSR Layout,Electronic City,2024,42,,136,,178,0.23595505617977527,0.7640449438202247
East,,F.Town,2018,5,5.0,16,13.0,21,0.23809523809523808,0.7619047619047619
East,,F.Town,2019,10,10.0,20,17.0,30,0.3333333333333333,0.6666666666666666
East,,F.Town,2020,8,8.0,11,9.0,19,0.42105263157894735,0.5789473684210527
East,,F.Town,2021,10,10.0,9,7.0,19,0.5263157894736842,0.47368421052631576
East,,F.Town,2022,4,4.0,5,5.0,9,0.4444444444444444,0.5555555555555556
,,Grand Total,2018,663,686.0,3948,4129.0,4611,0.14378659726740403,0.8562134027325959
,,Grand Total,2019,746,768.0,3938,4250.0,4684,0.159265584970111,0.840734415029889
,,Grand Total,2020,622,647.0,2614,2760.0,3236,0.19221260815822003,0.80778739184178
,,Grand Total,2021,618,651.0,2593,2828.0,3211,0.19246340703830583,0.8075365929616942
,,Grand Total,2022,751,771.0,3072,3218.0,3823,0.19644258435783415,0.8035574156421659
Total,,Grand Total,2023,882,910.0,4092,4191.0,4974,0.1773220747889023,0.8226779252110977
Total,,Grand Total,2024,852,,3948,,4800,0.1775,0.8225
East,,H.Grounds,2018,2,2.0,58,51.0,60,0.03333333333333333,0.9666666666666667
East,,H.Grounds,2019,5,5.0,48,54.0,53,0.09433962264150944,0.9056603773584906
East,,H.Grounds,2020,6,6.0,39,34.0,45,0.13333333333333333,0.8666666666666667
East,,H.Grounds,2021,2,2.0,36,38.0,38,0.05263157894736842,0.9473684210526315
East,,H.Grounds,2022,4,4.0,45,33.0,49,0.08163265306122448,0.9183673469387755
West,Central,H.Grounds,2023,6,6.0,50,47.0,56,0.10714285714285714,0.8928571428571429
West,Central,H.Grounds,2024,7,,48,,55,0.12727272727272726,0.8727272727272727
East,,HSR Layout,2018,17,17.0,83,98.0,100,0.17,0.83
East,,HSR Layout,2019,25,25.0,81,109.0,106,0.2358490566037736,0.7641509433962265
East,,HSR Layout,2020,15,16.0,60,86.0,75,0.2,0.8
East,,HSR Layout,2021,15,15.0,41,49.0,56,0.26785714285714285,0.7321428571428571
East,,HSR Layout,2022,14,14.0,50,56.0,64,0.21875,0.78125
South,HSR Layout,HSR Layout,2023,16,17.0,40,56.0,56,0.2857142857142857,0.7142857142857143
South,HSR Layout,HSR Layout,2024,12,,49,,61,0.19672131147540983,0.8032786885245902
East,East,Halasooru,2023,11,11.0,56,48.0,67,0.16417910447761194,0.835820895522388
East,East,Halasooru,2024,12,,49,,61,0.19672131147540983,0.8032786885245902
North,,Hebbala,2018,32,33.0,106,113.0,138,0.2318840579710145,0.7681159420289855
North,,Hebbala,2019,32,33.0,109,118.0,141,0.22695035460992907,0.7730496453900709
North,,Hebbala,2020,28,28.0,81,99.0,109,0.25688073394495414,0.7431192660550459
North,,Hebbala,2021,18,18.0,97,99.0,115,0.1565217391304348,0.8434782608695652
North,,Hebbala,2022,29,30.0,72,88.0,101,0.2871287128712871,0.7128712871287128
North,North East,Hebbala,2023,24,24.0,120,118.0,144,0.16666666666666666,0.8333333333333334
North,North East,Hebbala,2024,29,,148,,177,0.1638418079096045,0.8361581920903954
North,North East,Hennuru,2023,23,24.0,80,84.0,103,0.22330097087378642,0.7766990291262136
North,North East,Hennuru,2024,32,,95,,127,0.25196850393700787,0.7480314960629921
East,,HuliMavu,2018,30,33.0,106,118.0,136,0.22058823529411764,0.7794117647058824
East,,HuliMavu,2019,15,15.0,108,104.0,123,0.12195121951219512,0.8780487804878049
East,,HuliMavu,2020,16,16.0,64,74.0,80,0.2,0.8
East,,HuliMavu,2021,6,6.0,68,71.0,74,0.08108108108108109,0.918918918918919
East,,HuliMavu,2022,10,11.0,103,93.0,113,0.08849557522123894,0.911504424778761
South,South East,Hulimavu,2023,16,16.0,92,117.0,108,0.14814814814814814,0.8518518518518519
South,South East,Hulimavu,2024,10,,61,,71,0.14084507042253522,0.8591549295774648
East,,Indiranagar,2018,11,11.0,63,60.0,74,0.14864864864864866,0.8513513513513513
East,,Indiranagar,2019,14,14.0,94,92.0,108,0.12962962962962962,0.8703703703703703
East,,Indiranagar,2020,9,9.0,40,45.0,49,0.1836734693877551,0.8163265306122449
East,,Indiranagar,2021,5,5.0,27,28.0,32,0.15625,0.84375
